id,title_fa,title_en,code,parent_id
6825,جوراب ورزشی مردانه,جوراب ورزشی مردانه,men-socks,9457
9351,شال مردانه,Men Shawl,men-shawl,9487
9435,لباس مردانه,Men Clothing,men-clothing,8752
9436,کت، جلیقه و ست رسمی مردانه,MEN BLAZERS & SUITS,men-blazers-suits,9435
9438,کت تک رسمی مردانه,MEN Formal Jacket,men-formal-jacket,9436
9439,ست کت و شلوار مردانه,MEN Suits & Sets,men-suits-and-sets,9436
9441,جلیقه رسمی مردانه,MEN Formal Vest,men-formal-vest,9436
9442,لباس راحتی مردانه,MEN HOMEWEAR,men-homewear,9435
9443,ست لباس راحتی مردانه,MEN Homewear Sets,men-homewear-sets,9442
9444,تاپ و تی شرت راحتی مردانه,MEN Homewear Tops & T-shirts,men-homewear-tops-t-shirts,9442
9445,شلوار راحتی مردانه,MEN Homewear Bottom,men-homewear-bottom,9442
9447,شلوار جین مردانه,MEN Jean Pants,men-jeans,9435
9448,ژاکت و پلیور مردانه,MEN Jackets and pullovers,men-knitwear,9435
9449,پالتو، بارانی و کاپشن مردانه,Men Outerwear,men-outwear,9435
9450,پالتو مردانه,MEN Coat,men-coat,9449
9451,کت چرم مردانه,MEN Leather Outwear,men-leather-outwear,9449
9452,جلیقه پاییزه مردانه,Men autumn Vest,men-outwear-vest,9449
9453,کاپشن مردانه,MEN Warm Jacket,men-warm-jacket,9449
9454,پیراهن مردانه,Mens shirt,men-shirts,9435
9455,شلوارک مردانه,MEN SHORTS,men-shorts,9435
9456,جوراب مردانه,MEN SOCKS,men-socks-tights,9435
9457,لباس ورزشی مردانه,MEN SPORTSWEAR,men-sportswear,9435
9458,لباس زیر ورزشی مردانه,MEN Sport Underwear,men-sport-underwear,9457
9459,شلوار ورزشی مردانه,MEN Sport Trousers & Jumpsuits,men-sport-trousers-jumpsuits,9457
9460,تی شرت ورزشی مردانه,MEN Sport T-Shirts,men-sport-t-shirts-polos,9457
9461,کاپشن و جلیقه ورزشی مردانه,MEN Sport Outwear,men-sport-outwear,9457
9462,شلوارک ورزشی مردانه,MEN Sport Shorts,men-sport-shorts,9457
9463,سویشرت و هودی ورزشی مردانه,MEN Sport Sweatshirts & Hoodies,men-sport-sweatshirts-hoodies,9457
9464,گرمکن و ست ورزشی مردانه,MEN Tracksuits & Sets,men-tracksuits-sets,9457
9465,مجموعه هودی مردانه,Men hoodie collection,men-hoodies-collection,11383
9466,لباس شنا مردانه,MEN SWIMWEAR,men-swimwear,9457
9467,مایو و لباس شنای مردانه,MEN Swimsuit,men-swim-bottom,9466
9468,لباس غواصی مردانه,MEN Wetsuit,men-wetsuit,9466
9469,لباس زیر مردانه,MEN UNDERWEAR,men-underwear,9435
9470,تی شرت مردانه,MEN TEE-SHIRTS,men-tee-shirts,9435
9471,تاپ مردانه,MEN TOPS,men-tops,9435
9472,شلوار مردانه,MEN TROUSERS,men-trousers,9435
9473,زیرپوش مردانه,MEN Undergarments,men-undergarments,9469
9474,شورت مردانه,MEN Underwear Bottom,men-underwear-bottom,9469
9476,کفش مردانه,Men Shoes,men-shoes,8752
9477,نیم بوت مردانه,MEN ANKLE BOOTS,men-ankle-boots,9476
9478,بوت مردانه,MEN BOOTS,men-boots,9476
9479,گیوه مردانه,MEN ESPADRILLES,men-espadrilles,9476
9480,دمپایی لاانگشتی مردانه,MEN FLIP FLOPS,men-flip-flops,9476
9481,کفش رسمی مردانه,MEN FORMAL SHOES,men-formal-shoes,9476
9482,صندل مردانه,MEN SANDALS,men-sandals,9476
9483,کت پاییزه و زمستانه مردانه,Men autumn and winter jackets,menjacket,9449
9484,دمپایی مردانه,MEN SLIPPERS,men-slippers,9476
9486,کفش ورزشی مردانه,MEN SPORT SHOES,men-sport-shoes-,9476
9487,اکسسوری مردانه,Men Accessories,men-accessories,8752
